Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.LoginTests.demoNevernyyParolRuchnoyTriggerTest47324","Демо: неверный пароль (ручной триггер AI)","passed","9s 499ms",,,"Открыть login.html?ru passed (4s 422ms)
  $(""open"") https://qa-guru.github.io/one-page-form/login.html?ru passed (4s 417ms)
    $(""webdriver"") create() passed (3s 922ms)
 Ввести user1 в поле логина passed (1s 453ms)
   $(""[data-testid=login-input]"") set value(user1) passed (1s 432ms)
  Ввести неверный пароль в поле пароля passed (1s 130ms)
    $(""[data-testid=password-input]"") set value(wrongpassword) passed (1s 130ms)
   Нажать кнопку submit passed (713ms)
     $(""[data-testid=submit-button]"") click() passed (712ms)
    Проверить текст ошибки ""Неверный логин или пароль"" passed (499ms)
      $(""[data-testid=error-message]"") should have(text ""Неверный логин или пароль"") passed (499ms)",,"Авторизация",,"Одностраничная форма","Авторизация",
"tests.LoginTests.demoNevernyyParolRuchnoyTriggerTest","Демо: неверный пароль (ручной триггер AI)","passed","8s 821ms",,,"Открыть login.html?ru passed (3s 834ms)
 Ввести user1 в поле логина passed (1s 458ms)
  Ввести неверный пароль в поле пароля passed (1s 119ms)
   Нажать кнопку submit passed (725ms)
    Проверить текст ошибки ""Неверный логин или пароль"" passed (514ms)",,"Авторизация",,"Одностраничная форма","Авторизация",
"tests.LoginTests.successfulLoginTest47325","Демо: успешный логин (ручной триггер AI)","passed","8s 818ms",,,"Открыть login.html?ru passed (3s 829ms)
 Ввести user1 в поле логина passed (1s 466ms)
  Ввести password1 в поле пароля passed (1s 127ms)
   Нажать кнопку submit passed (738ms)
    Проверить приветствие ""Добро пожаловать, user1!"" passed (525ms)",,"Авторизация",,"Одностраничная форма","Авторизация",
"tests.CheckoutTests.wrongPasswordLoginTest","Неуспешный логин с неверным паролем","passed","8s 829ms",,,"Открыть login.html?ru passed (3s 838ms)
 Ввести user1 в поле логина passed (1s 471ms)
  Ввести неверный пароль в поле пароля passed (1s 96ms)
   Нажать кнопку submit passed (727ms)
    Проверить текст ошибки ""Неверный логин или пароль"" passed (509ms)",,"Авторизация",,"Одностраничная форма","Авторизация",
"tests.CheckoutTests.successfulAuthorizationTest","Успешная авторизация через login.html","passed","8s 840ms",,,"Открыть login.html?ru passed (3s 864ms)
  $(""open"") https://qa-guru.github.io/one-page-form/login.html?ru passed (3s 864ms)
    $(""webdriver"") create() passed (3s 380ms)
 Ввести user1 в поле логина passed (1s 453ms)
   $(""[data-testid=login-input]"") set value(user1) passed (1s 429ms)
  Ввести password1 в поле пароля passed (1s 104ms)
    $(""[data-testid=password-input]"") set value(password1) passed (1s 104ms)
   Нажать кнопку submit passed (712ms)
     $(""[data-testid=submit-button]"") click() passed (712ms)
    Проверить приветствие ""Добро пожаловать, user1!"" passed (503ms)
      $(""[data-testid=welcome-message]"") should have(text ""Добро пожаловать, user1!"") passed (503ms)",,"Авторизация",,"Одностраничная форма","Авторизация",
"tests.LoginTests.successfulLoginTest","Успешный логин user1 (ручной триггер AI)","passed","8s 827ms",,,"Открыть login.html?ru passed (3s 850ms)
 Ввести user1 в поле логина passed (1s 466ms)
  Ввести password1 в поле пароля passed (1s 84ms)
   Нажать кнопку submit passed (708ms)
    Проверить приветствие ""Добро пожаловать, user1!"" passed (505ms)",,"Авторизация",,"Одностраничная форма","Авторизация",
